Entry	Subcellular location [CC]
C1K3N4	
F6IQK4	
C8Y0I5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
C9JWK8	
F2WID8	
F6LPT1	
G5D8J6	
A0A090KF41	
B3KX75	
B8Q176	
B2KKJ9	
Q53FW5	
I1E497	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000256|SAAS:SAAS00410259}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00410259}.
B7Z946	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU310713}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU310713}.
Q8WWX4	
A0A059RHV9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
Q305W9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q6RJV7	
Q19MP7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|SAAS:SAAS00709542}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00709542}.
A0A1U9IFI5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
B3KQ18	
B4DRM9	
B4DTE7	
A0A0A8K8F5	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU363122}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363122}.
B4DU97	
B2RNC7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}.
B4DDZ3	
B4DRW5	
G9LGA9	
A0A1W2PNG1	
I7LL22	
B2XJF7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
Q5SZE1	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|RuleBase:RU000682}.
C9J134	
H7C562	
G3V4J5	
A0A024R3I8	
Q96K20	
B2RAP0	
H0YIU3	
A0A0A0PVA5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q6ZT96	
Q9B2Y1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
A0A076LB70	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
A0A059RK35	
V9GYN7	
Q8IWC8	
L7XRW4	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A059QT91	
A0A0P0HTC9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102}.
B4YBV5	
F8WAX7	
B4DVN9	
Q59FL6	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU361216}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361216}.
B4YG13	
A0A1W2PNZ7	
H7C5W9	
B7Z4N0	
Q96DJ3	
A0A0B4J252	
D6REA2	
U3LB43	
G1C120	
H0YI75	
G3V4Z9	
B1NU66	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
Q86TW5	
A0A0A0MR30	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000256|SAAS:SAAS00582638}.
Q8TDC6	
A2SX37	
B7Z786	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|PIRNR:PIRNR000047}.
R9Y5X1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
A0A024QZZ1	
A0A1L5YEK0	
B7Z2E0	
H3BRR7	
Q6NUP5	
F2WIJ8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
A0A1B0GX40	
G9LKB6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
Q50L08	
A0A1V0E3S6	
A0A087WXK4	
R9RV30	
Q6TTN3	
B3KNA3	
A0A0C4DGB3	
M0R2H4	
B4DYG0	
E5RH84	
A0A023QHD1	
A0A059RTZ6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|SAAS:SAAS00709542}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00709542}.
Q4W5F7	
J3KP20	
Q6ZNB2	
Q2NKK0	
V9IVA7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q9H7I6	
B4DEF2	
A0A1U9ZQ50	
A0A0A8K9B4	
D6BP43	
D9IDM4	
D4P3Q7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|SAAS:SAAS00541856}; Lipid-anchor, GPI-anchor {ECO:0000256|SAAS:SAAS00541856}.
E9PJ18	
Q59GL3	
X6RA92	
B2XGB4	
H9Q0E4	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
C9K0E9	
B8X6H3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A0A0MTB7	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU361221}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361221}.
I6N522	
J3KQU7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}.
U3PYP0	
A0A067ZXP5	
K4MWK1	
A0A059RHU3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
D6R9T7	
A0A096LP69	
B2RXG1	
Q96HC2	
F1AKQ8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
X5DNQ0	
Q53HA8	
Q86XM6	
B2RCU2	
Q508I8	
Q54A24	
F6IQX3	
B4DLL6	
X5D773	
Q59FU1	
Q9NXP1	
M0R1E3	
B4E3T9	
A0A097PZ33	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
Q99586	
A0A023R388	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
G9I593	
K0A0T9	
F2WGM6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
A0A097QA13	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q3S2J4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU046427}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU046427}.
A0A068BT32	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A6ZH52	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
A3EY18	
A0A1U9X844	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}.
A0A1W2PRQ9	
B4DP97	
D8MJ84	
A0A023QCY0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
A0A1W2PRY2	
C9J0Z4	
Q4G9U9	
Q96RH0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU361191}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361191}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000256|RuleBase:RU361191}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361191}.
I3L3Q5	
C9JXJ9	
B2RBU9	
F6IQV8	
A0A087X0M8	
B7Z1F1	
F5H381	
A0A087WU88	
H7C5E2	
C7DRQ5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
E2JKH1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
E5RJU3	
A0A096YAV1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A059RKR4	
A6YZL9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
Q15HE6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
A0A087WV58	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU363075}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363075}.
C9J719	
H9R2Q7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
H9SNR7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
Q9B2W2	
A0A1W1B6G6	
C5HTY9	
Q5T9C7	
A0A060VD03	
E7EU00	
Q5T704	
E7ERZ9	
A8K769	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU363122}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363122}.
Q53F36	
A0A0A0PQ79	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
H0Y8R7	
A0A059RI53	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|SAAS:SAAS00709542}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00709542}.
A6NFI1	
J3KNJ8	
A0A059QI72	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|SAAS:SAAS00709542}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00709542}.
K7EKT2	
V9J1V9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
A0A087WUC5	
H9QT41	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
Q6NWR0	
F8W0K6	
S4R3D3	
A0A067ZWQ8	
J3KS69	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU363109}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363109}.
A0A0B7MB31	
A0A0C4DGQ7	
F8W784	
Q05BT0	
B4DH37	
U3LDZ9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
A0A0A0MSC0	
F8WE33	
B4E1Q6	
H9E7F3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A023I889	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
A0A060VG64	
A7YSM1	
E2J112	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
I0CKG0	
H0Y9K5	
L7NWJ0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
Q6NWR7	
F8VQX6	
B7Z523	
Q4G155	
C9JYN0	
J3QQW1	
A4ZMY2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
B4DM10	
H9M4B2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q7Z675	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU361146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361146}.
C9JKZ3	
A0A059RNH1	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291}; Single-pass membrane protein {ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291}.
E5RFK0	
A0A059QHG0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
A6NDY5	
A6Z0P9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
H7C4K4	
O19689	
Q85KS7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
H7C5J7	
K7EQ14	
H0YFU6	
A0A087WWV0	
B2XEL6	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291}; Single-pass membrane protein {ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291}.
Q8HWG1	
A0A098E5P3	
A0A059QMD4	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A059S4N3	
A0A059QVH0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000457}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000457}.
A8K619	
F8W1G5	
A0PJ54	
I7C0V7	
Q6FHF6	
A0A096X0J8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
H3BS45	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU363075}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363075}.
A0A1V0E3T9	
Q59F17	
Q8TCB3	
A0A1U9X790	
A7XT66	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
B2Z592	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
G9LNW0	
Q05CU4	
F5H3T4	
B7Z706	
W8JD10	
L7XPB1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q53HD1	
Q1JUM3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361244, ECO:0000256|SAAS:SAAS00583102}.
A0A059QSG3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
A0A0U1RQU3	
A0A023QIL7	
A0A1U9X864	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}.
B2R8G9	
B4DV40	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU361218}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361218}.
H7C046	
B8X558	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
Q7Z594	
C7SL96	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A059RS25	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
A8DU55	
B2RA56	
F5GXI8	
J3KR90	
A0A067ZVH5	
V9JFT8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A0B7NY95	
B2RAU1	
X5LKD6	
B7Z9V4	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU362084}.
H9A8K9	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU003822}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003822}.
U3MA26	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
E9PCX7	
E9PF01	
Q3MIC3	
A8K140	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000256|RuleBase:RU364027}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU364027}.
A9CB80	
F5GZG7	
A0A059QUY8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
B4DQW6	
A0A023I7J4	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
G3FGM6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
Q96NG1	
Q1ZYL9	
I6UJG0	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU362059}; Single-pass membrane protein {ECO:0000256|RuleBase:RU362059}.
K7WBE4	
H0YFS2	
A0A059S9U8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
A0A067ZXN8	
A0A059QSP8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
Q305V5	
Q6R0Z3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
A0A023QXJ5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
A0A1W2PPA0	
D2Y6Y5	
A0A1W1B681	
B4DK82	
B4DSZ1	
B7Z390	
B9EIN6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146}.
C9J841	
H9E7G7	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
Q1HE23	
L7XE90	
Q96DI8	
A0A067ZUL5	
A0A1V0E3L1	
A0A1S6NFS6	
A0A097QD97	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
B4DXI0	
Q59EX4	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU362033}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362033}.
A0A097PVS8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
A4ZMH6	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q4F6E2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
B3KP53	
E9PKP8	
A0A097Q5V5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q59H05	
B4DH92	
U3L7B9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
B7Z6C7	
E9PJS0	
H0YHJ0	
A0A059RX44	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
E5RII4	
H9QKW8	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A0A087WXV2	
B9ED14	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
E9PMC0	
H9SDV9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
A0A059QI24	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000369}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000369}.
F6IQY9	
A0A059RUX7	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000256|SAAS:SAAS00410259}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00410259}.
Q63HP3	
A0A068C7Y5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU362117}.
A6Q0R3	
Q49AJ5	
Q59GJ5	
A0A096LPB2	
A0A1W2PPK6	
D6RHV1	
E9PNE7	
Q8IZY9	
D6RDY9	
A2A2A2	
Q27H25	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
Q68J67	
B4E2U4	
J3QRB4	
A0A024R342	
F4NBP5	
U3LAU0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113}.
F1B7N2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU000471}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU000471}.
F5H6X2	
H0YCG2	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000256|PROSITE-ProRule:PRU00740}; Single-pass type I membrane protein {ECO:0000256|PROSITE-ProRule:PRU00740}.
A8K8T0	SUBCELLULAR LOCATION: Membrane {ECO:0000256|RuleBase:RU003762}; Single-pass type I membrane protein {ECO:0000256|RuleBase:RU003762}.
K7ELD4	
Q8IUJ0	
Q67AH3	
B3KPP8	
D6RD79	
Q6AI41	
U3Q5I2	
A8K0F9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|SAAS:SAAS00543559}; Multi-pass membrane protein {ECO:0000256|SAAS:SAAS00543559}.
F2WFI2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751}.
E9PQ55	
A0A087WU76	
J7HTA3	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU004450}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU004450}.
Q8WUW2	
